X_(ms),SERVO_03.r35:_Motortemperatur_PT1000,SERVO_03.r63:_Drehzahlistwert_geglättet,SERVO_03.r76:_Stromistwert_feldbildend,SERVO_03.r78[1]:_Stromistwert_momentenbildend._Geglättet_mit_p0045,SERVO_03.r72:_Ausgangsspannung,Drehzahl_>_0_(Siemens),TM150_04.r4105[1]:_TM150_Temperaturistwert._Temperaturkanal_1_KTY,Channel_1-Vor_Kühlwasser_PT100_an_Muffe,Channel_2-Ruek_Kühlwasser_PT100_an_Muffe,Drehzahl_>_0_(PT104),RotorTemp,Channel_3-Rot_RotorTemp_(Wert_/_0.0125_=_°C),Control_Unit.r747:_CU_Digitalausgänge_Status_Drehzahl_>_0,Channel_4_ON_wenn_>_700_dann_Drehzahl_>_0
138000,26.01923561,500.2107239,-0.318488091,1.542022109,411.5423584,10,24.79999924,23.705,23.803,10,25.6072,0.32009,4096,700.13599
139000,26.11824799,500.0866699,-0.396251678,1.510077357,412.0808105,10,24.79999924,23.705,23.799,10,25.64,0.3205,4096,700.13599
140000,26.14873505,500.1116638,-0.380952001,1.583970547,412.1059265,10,24.79999924,23.705,23.799,10,25.64,0.3205,4096,700.18915
141000,26.11338234,500.1289063,-0.294177443,1.663359404,413.031311,10,24.79999924,23.711,23.831,10,25.64,0.3205,4096,700.18915
142000,26.15429115,500.0605164,-0.341341853,1.610856771,414.2545166,10,24.79999924,23.711,23.831,10,25.5584,0.31948,4096,700.18915
143000,26.20707893,500.1068726,-0.29195565,1.656633139,411.3695984,10,24.79999924,23.716,23.831,10,25.5584,0.31948,4096,700.16577
144000,26.34366798,500.1638184,-0.204473659,1.682038426,405.8346863,10,24.89999962,23.716,23.822,10,25.5584,0.31948,4096,700.16577
145000,26.3209877,500.0805054,-0.413902104,1.491752625,411.7367554,10,24.89999962,23.716,23.822,10,25.5944,0.31993,4096,700.17877
146000,26.28251648,500.049469,-0.411938071,1.414520741,412.9879761,10,24.89999962,23.723,23.822,10,25.5944,0.31993,4096,700.17877
147000,26.40679741,500.12677,-0.366238564,1.486278296,412.0422974,10,25,23.723,23.829,10,25.8096,0.32262,4096,700.17877
148000,26.40488625,499.9703369,-0.183752894,1.547599673,410.2193604,10,25,23.723,23.829,10,25.8096,0.32262,4096,700.15686
149000,26.47229004,500.0449524,-0.236168519,1.568918586,411.0029602,10,25,23.729,23.848,10,25.8096,0.32262,4096,700.15686
150000,26.46786308,500.0926819,-0.163918063,1.812739134,412.0046387,10,25,23.729,23.848,10,25.7768,0.32221,4096,700.15686
151000,26.41632843,500.0921631,-0.222836852,1.869192123,411.4237061,10,25,23.735,23.848,10,25.7768,0.32221,4096,700.16388
152000,26.50003242,500.0485535,-0.30277732,1.860659122,415.6286316,10,25,23.735,23.862,10,25.7768,0.32221,4096,700.16388
153000,26.46099281,500.0232239,-0.21772939,1.845532775,413.8331909,10,25.10000038,23.735,23.862,10,26.1144,0.32643,4096,700.18341
154000,26.530159,500.0267639,-0.323850513,2.000020266,414.633728,10,25.10000038,23.751,23.862,10,26.1144,0.32643,4096,700.18341
155000,26.59892845,500.0648804,-0.187370092,1.854109645,411.5923462,10,25.10000038,23.751,23.854,10,26.012,0.32515,4096,700.18341
156000,26.57604599,499.9320068,-0.333402723,1.923410654,417.9147034,10,25.10000038,23.751,23.854,10,25.992,0.3249,4096,700.17914
157000,26.66216278,500.0089722,-0.234783888,2.059050083,415.703125,10,25.10000038,23.758,23.863,10,25.992,0.3249,4096,700.17914
158000,26.67778969,500.005188,-0.264689624,2.0308218,416.3357544,10,25.10000038,23.758,23.868,10,26.0408,0.32551,4096,700.17914
159000,26.64395905,499.9928894,-0.274529636,1.859638333,418.6801758,10,25.20000076,23.76,23.868,10,26.0408,0.32551,4096,700.16431
160000,26.71967506,500.0157166,-0.219825149,1.875532389,413.0220947,10,25.20000076,23.761,23.873,10,26.0408,0.32551,4096,700.16431
161000,26.65397072,499.9907837,-0.078332111,1.929589391,416.9898376,10,25.20000076,23.761,23.873,10,26.1176,0.32647,4096,700.16644
162000,26.76070023,500.1798706,-0.430656582,2.407608747,415.0440979,10,25.20000076,23.77,23.873,10,26.1176,0.32647,4096,700.17175
163000,26.7260437,500.0775146,-0.258269399,1.870001674,413.0580139,10,25.29999924,23.77,23.892,10,26.1384,0.32673,4096,700.17175
164000,26.79962158,500.0478821,-0.299945325,1.800380468,415.440094,10,25.29999924,23.77,23.892,10,26.2408,0.32801,4096,700.18005
165000,26.73229599,499.9621582,-0.210713878,1.96045959,415.5036316,10,25.29999924,23.78,23.892,10,26.2408,0.32801,4096,700.18005
166000,26.8020916,499.9911194,-0.117278136,1.932806373,415.1051331,10,25.29999924,23.78,23.899,10,26.2408,0.32801,4096,700.18005
167000,26.87434196,500.1242065,-0.168089047,1.836194992,412.0917053,10,25.29999924,23.78,23.899,10,26.2408,0.32801,4096,700.16345
168000,26.80514717,500.0624084,-0.138463989,1.815901637,413.9883423,10,25.29999924,23.788,23.901,10,26.2408,0.32801,4096,700.16345
